Role,Usage Frequency,Inventory Method,Challenges,Ease of Use (1-5),Interface Clarity,Task Speed,Improved Tracking,Reduced Errors,Reliability,Useful Features,Low Stock Alert Helpful,Report Usefulness,Satisfaction (1-5),Recommend
Manager,Weekly,Manual,"No reports, Stock errors",1,Very Clear,Average,Disagree,Agree,Unreliable,"Low-stock alerts, Inventory updates, Reports",No,Very Useful,1,No
Employee,Weekly,Spreadsheet,"No reports, Time-consuming, Stock errors",3,Very Clear,Slow,Disagree,Neutral,Very Reliable,Product registration,Not sure,Useful,1,Yes
Customer,Never,Software,"Stock errors, No reports",4,Confusing,Fast,Strongly Agree,Neutral,Very Reliable,Reports,Yes,Useful,3,No
Employee,Occasionally,Manual,"Time-consuming, No reports, Data loss",2,Average,Fast,Strongly Agree,Disagree,Neutral,"Sales tracking, Product registration",Not sure,Very Useful,5,No
Employee,Weekly,Spreadsheet,No reports,1,Very Clear,Average,Disagree,Neutral,Unreliable,"Inventory updates, Product registration",Yes,Very Useful,3,Yes
Manager,Occasionally,Manual,Tracking issues,2,Very Clear,Slow,Agree,Neutral,Neutral,"Low-stock alerts, Reports, Product registration",No,Very Useful,4,No
Manager,Daily,Spreadsheet,"Tracking issues, Time-consuming",1,Confusing,Fast,Neutral,Neutral,Reliable,Sales tracking,Yes,Useful,2,No
Manager,Never,Spreadsheet,"Data loss, Tracking issues",3,Average,Fast,Strongly Agree,Neutral,Unreliable,"Product registration, Low-stock alerts, Reports",Yes,Useful,2,Yes
Manager,Weekly,Manual,"Data loss, No reports, Stock errors",2,Very Clear,Fast,Neutral,Agree,Neutral,"Sales tracking, Product registration, Inventory updates",Yes,Useful,5,No
Customer,Weekly,Not sure,Time-consuming,3,Very Clear,Average,Agree,Neutral,Neutral,Product registration,Not sure,Neutral,5,Yes
Customer,Never,Not sure,"Data loss, Tracking issues, No reports",1,Clear,Slow,Neutral,Agree,Unreliable,Low-stock alerts,Yes,Not Useful,1,Yes
Manager,Daily,Manual,No reports,1,Confusing,Fast,Strongly Agree,Strongly Agree,Unreliable,"Product registration, Reports",Yes,Very Useful,2,No
Customer,Weekly,Manual,"Stock errors, Tracking issues",2,Average,Very Fast,Neutral,Disagree,Neutral,Sales tracking,Not sure,Very Useful,4,No
Employee,Daily,Not sure,"Data loss, No reports, Time-consuming",1,Very Clear,Fast,Agree,Strongly Agree,Neutral,"Sales tracking, Reports",Not sure,Useful,2,No
Customer,Never,Not sure,Stock errors,5,Average,Fast,Agree,Disagree,Unreliable,Reports,Not sure,Very Useful,1,No
Manager,Daily,Manual,"Time-consuming, Stock errors, Data loss",4,Very Clear,Fast,Strongly Agree,Disagree,Unreliable,Reports,Yes,Not Useful,2,Yes
Store Owner,Never,Manual,"Data loss, Tracking issues",1,Very Clear,Slow,Strongly Agree,Strongly Agree,Very Reliable,Reports,No,Not Useful,4,No
Customer,Occasionally,Software,"No reports, Stock errors",2,Very Clear,Fast,Disagree,Strongly Agree,Unreliable,Product registration,No,Useful,1,Yes
Manager,Occasionally,Manual,Data loss,4,Confusing,Fast,Strongly Agree,Disagree,Reliable,Low-stock alerts,Yes,Useful,3,No
Store Owner,Occasionally,Spreadsheet,Tracking issues,2,Average,Fast,Disagree,Neutral,Neutral,"Reports, Inventory updates, Low-stock alerts",Yes,Not Useful,1,Yes
Manager,Occasionally,Manual,No reports,5,Average,Average,Neutral,Agree,Reliable,"Low-stock alerts, Inventory updates",Yes,Neutral,4,No
Customer,Never,Software,Data loss,4,Very Clear,Fast,Strongly Agree,Neutral,Very Reliable,Inventory updates,Not sure,Not Useful,3,Yes
Manager,Daily,Software,"Stock errors, Data loss, No reports",4,Average,Slow,Strongly Agree,Strongly Agree,Very Reliable,"Product registration, Low-stock alerts",Not sure,Useful,3,Yes
Manager,Never,Spreadsheet,"Time-consuming, Data loss, No reports",1,Average,Very Fast,Agree,Disagree,Unreliable,"Sales tracking, Reports",No,Useful,2,No
Customer,Weekly,Manual,Stock errors,1,Clear,Very Fast,Disagree,Neutral,Very Reliable,"Inventory updates, Product registration, Reports",Not sure,Very Useful,4,No
Customer,Daily,Not sure,"Time-consuming, Stock errors, No reports",1,Confusing,Average,Neutral,Neutral,Very Reliable,Product registration,No,Neutral,4,No
Store Owner,Never,Not sure,Tracking issues,4,Very Clear,Very Fast,Neutral,Strongly Agree,Reliable,"Inventory updates, Low-stock alerts",Yes,Very Useful,1,No
Store Owner,Occasionally,Software,Data loss,2,Clear,Average,Strongly Agree,Agree,Reliable,Reports,Not sure,Neutral,4,No
Employee,Never,Not sure,"Tracking issues, Data loss",1,Confusing,Very Fast,Neutral,Neutral,Very Reliable,Sales tracking,Not sure,Neutral,1,Yes
Manager,Occasionally,Spreadsheet,"Tracking issues, No reports",5,Clear,Slow,Neutral,Strongly Agree,Reliable,Product registration,Not sure,Very Useful,2,No
Employee,Daily,Manual,"Data loss, Tracking issues",3,Average,Average,Neutral,Neutral,Very Reliable,"Inventory updates, Reports",Yes,Useful,1,Yes
Manager,Occasionally,Manual,Time-consuming,2,Very Clear,Slow,Agree,Agree,Neutral,Sales tracking,No,Very Useful,2,No
Store Owner,Weekly,Spreadsheet,"No reports, Stock errors, Tracking issues",1,Average,Slow,Disagree,Agree,Unreliable,"Low-stock alerts, Product registration, Inventory updates",No,Useful,5,No
Employee,Never,Software,No reports,5,Average,Very Fast,Neutral,Agree,Reliable,"Product registration, Inventory updates",No,Useful,4,Yes
Manager,Occasionally,Spreadsheet,No reports,5,Average,Average,Neutral,Agree,Neutral,"Inventory updates, Sales tracking",Not sure,Useful,3,Yes
Customer,Never,Not sure,Time-consuming,4,Average,Slow,Neutral,Neutral,Neutral,"Reports, Sales tracking, Product registration",Not sure,Neutral,4,No
Store Owner,Never,Software,"No reports, Data loss, Stock errors",4,Clear,Very Fast,Disagree,Strongly Agree,Reliable,"Reports, Low-stock alerts, Inventory updates",Yes,Very Useful,1,No
Customer,Daily,Software,"No reports, Data loss",4,Very Clear,Fast,Neutral,Agree,Very Reliable,Inventory updates,Yes,Very Useful,4,No
Manager,Daily,Not sure,"Time-consuming, Stock errors",2,Average,Very Fast,Strongly Agree,Disagree,Unreliable,Reports,Yes,Useful,2,Yes
Employee,Daily,Manual,"No reports, Stock errors, Time-consuming",3,Average,Fast,Agree,Strongly Agree,Very Reliable,Reports,No,Useful,1,No
Manager,Occasionally,Not sure,"Stock errors, Tracking issues",2,Very Clear,Slow,Strongly Agree,Agree,Unreliable,"Product registration, Sales tracking",Not sure,Very Useful,1,Yes
Manager,Occasionally,Manual,"Stock errors, No reports, Tracking issues",5,Very Clear,Fast,Disagree,Strongly Agree,Very Reliable,"Product registration, Inventory updates, Sales tracking",Yes,Very Useful,2,No
Manager,Occasionally,Software,"Data loss, Time-consuming",4,Confusing,Slow,Neutral,Neutral,Neutral,Product registration,Not sure,Useful,5,Yes
Manager,Occasionally,Software,"Time-consuming, Data loss, Tracking issues",2,Confusing,Very Fast,Neutral,Strongly Agree,Very Reliable,"Sales tracking, Product registration",Yes,Not Useful,1,Yes
Employee,Never,Not sure,"Tracking issues, Time-consuming",2,Very Clear,Very Fast,Disagree,Disagree,Very Reliable,"Inventory updates, Reports",Not sure,Useful,1,Yes
Manager,Daily,Software,"Time-consuming, No reports, Tracking issues",5,Very Clear,Fast,Neutral,Agree,Very Reliable,Reports,No,Not Useful,1,No
Store Owner,Daily,Not sure,"Stock errors, Time-consuming",3,Very Clear,Average,Neutral,Disagree,Unreliable,Sales tracking,Yes,Not Useful,5,No
Manager,Daily,Not sure,"Tracking issues, No reports, Time-consuming",1,Confusing,Average,Disagree,Strongly Agree,Unreliable,"Inventory updates, Reports, Sales tracking",No,Neutral,3,Yes
Employee,Never,Spreadsheet,"Time-consuming, Tracking issues",4,Very Clear,Average,Disagree,Disagree,Very Reliable,"Low-stock alerts, Product registration",No,Neutral,1,No
Customer,Never,Manual,"Time-consuming, No reports, Stock errors",2,Confusing,Very Fast,Neutral,Strongly Agree,Unreliable,"Inventory updates, Low-stock alerts",Yes,Useful,1,Yes
